,id,name,circulating_supply,Price_USD
0,1,Bitcoin,19037300.0,28975.3215028795
1,1027,Ethereum,120740258.4365,2094.4126640405
2,825,Tether,83147694182.59315,0.996254837
3,3408,USD Coin,48972254948.46881,1.0008059264
4,1839,BNB,163276974.63,271.7898615137
5,74,Dogecoin,132670764299.89409,0.0850654704
6,4269,GateToken,78330480.69288407,4.9327873648
